Date,Open,High,Low,Close,Adj Close,Volume
2017-09-01,164.800003,164.940002,163.630005,164.050003,164.050003,16591100
2017-09-05,163.75,164.25,160.559998,162.080002,162.080002,29468500
2017-09-06,162.710007,162.990005,160.520004,161.910004,161.910004,21651700
2017-09-07,162.089996,162.240005,160.360001,161.259995,161.259995,21928500
2017-09-08,160.860001,161.149994,158.529999,158.630005,158.630005,28611500
2017-09-11,160.5,162.050003,159.889999,161.5,161.5,31580800
2017-09-12,162.610001,163.960007,158.770004,160.860001,160.860001,71714000
2017-09-13,159.869995,159.960007,157.910004,159.649994,159.649994,44907400
2017-09-14,158.990005,159.399994,158.089996,158.279999,158.279999,23760700
2017-09-15,158.470001,160.970001,158.0,159.880005,159.880005,49114600
2017-09-18,160.110001,160.5,158.0,158.669998,158.669998,28269400
2017-09-19,159.509995,159.770004,158.440002,158.729996,158.729996,20810600
2017-09-20,157.899994,158.259995,153.830002,156.070007,156.070007,52951400
2017-09-21,155.800003,155.800003,152.75,153.389999,153.389999,37511700
2017-09-22,151.539993,152.270004,150.559998,151.889999,151.889999,46645400
2017-09-25,149.990005,151.830002,149.160004,150.550003,150.550003,44387300
2017-09-26,151.779999,153.919998,151.690002,153.139999,153.139999,36660000
2017-09-27,153.800003,154.720001,153.539993,154.229996,154.229996,25504200
2017-09-28,153.889999,154.279999,152.699997,153.279999,153.279999,22005500
2017-09-29,153.210007,154.130005,152.0,154.119995,154.119995,26299800
2017-10-02,154.259995,154.449997,152.720001,153.809998,153.809998,18698800
